count_point_id,direction_of_travel,year,count_date,hour,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
26349,N,2005,10/05/2005,8,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,20,994,0,123,47,2,8,0,12,8,77,1214
26349,N,2005,10/05/2005,9,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,10,797,4,94,42,12,8,4,6,10,82,987
26349,N,2005,10/05/2005,10,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,6,653,1,129,43,12,6,5,11,11,88,877
26349,N,2005,10/05/2005,11,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,3,587,2,116,42,7,6,5,14,9,83,791
26349,N,2005,10/05/2005,12,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,2,533,3,83,42,4,7,4,11,10,78,699
26349,N,2005,10/05/2005,13,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,1,2,500,1,91,51,5,6,4,5,14,85,679
26349,N,2005,10/05/2005,14,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,3,525,2,101,31,4,7,1,8,10,61,692
26349,N,2005,10/05/2005,15,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,3,546,3,124,22,4,6,3,4,10,49,725
26349,N,2005,10/05/2005,16,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,7,801,3,152,39,4,6,4,7,3,63,1026
26349,N,2005,10/05/2005,17,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,19,1085,5,80,17,1,0,7,3,1,29,1218
26349,N,2005,10/05/2005,18,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,8,1073,5,44,11,2,3,2,1,6,25,1155
26349,S,2005,10/05/2005,7,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,10,1048,6,179,41,6,6,2,9,3,67,1310
26349,S,2005,10/05/2005,8,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,14,1132,1,95,34,7,6,3,10,11,71,1313
26349,S,2005,10/05/2005,9,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,12,819,8,115,56,7,8,5,13,9,98,1052
26349,S,2005,10/05/2005,10,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,2,532,3,123,56,7,12,8,16,12,111,771
26349,S,2005,10/05/2005,11,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,3,480,2,119,55,6,6,3,11,4,85,689
26349,S,2005,10/05/2005,12,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,1,524,0,123,52,8,10,2,8,11,91,739
26349,S,2005,10/05/2005,13,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,1,6,548,2,99,54,10,9,0,8,11,92,747
26349,S,2005,10/05/2005,14,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,10,580,1,133,46,8,11,1,9,5,80,804
26349,S,2005,10/05/2005,15,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,1,672,4,147,50,4,18,2,2,9,85,909
26349,S,2005,10/05/2005,16,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,8,1253,5,195,27,0,3,0,5,7,42,1503
26349,S,2005,10/05/2005,17,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,17,1492,1,122,24,1,1,1,7,4,38,1670
26349,S,2005,10/05/2005,18,South East,113,Wokingham,A33,Major,LA Boundary,Mereoak Lane/Basingstoke Rd roundabout,3.79,0,19,1359,1,71,10,1,0,4,5,1,21,1471
26929,N,2005,11/04/2005,7,South East,113,Wokingham,A321,Major,A4,A4130,3.98,1,5,233,1,25,6,0,0,0,0,0,6,270
26929,N,2005,11/04/2005,8,South East,113,Wokingham,A321,Major,A4,A4130,3.98,2,4,281,1,23,7,1,0,0,0,0,8,317
26929,N,2005,11/04/2005,9,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,0,217,3,23,5,0,0,0,0,0,5,248
26929,N,2005,11/04/2005,10,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,2,176,1,15,11,1,0,0,0,0,12,206
26929,N,2005,11/04/2005,11,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,0,171,1,17,7,2,0,0,0,0,9,198
26929,N,2005,11/04/2005,12,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,4,157,2,17,6,3,0,0,0,0,9,189
26929,N,2005,11/04/2005,13,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,3,184,1,31,5,0,0,0,0,0,5,224
26929,N,2005,11/04/2005,14,South East,113,Wokingham,A321,Major,A4,A4130,3.98,2,3,163,2,24,6,1,0,0,0,0,7,199
26929,N,2005,11/04/2005,15,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,2,156,3,30,3,0,0,0,0,0,3,194
26929,N,2005,11/04/2005,16,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,8,216,2,29,2,0,0,0,1,0,3,258
26929,N,2005,11/04/2005,17,South East,113,Wokingham,A321,Major,A4,A4130,3.98,1,5,374,1,19,0,0,0,0,0,0,0,399
26929,N,2005,11/04/2005,18,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,6,332,0,19,1,0,0,0,0,0,1,358
26929,S,2005,11/04/2005,7,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,0,218,1,29,5,1,0,0,0,0,6,254
26929,S,2005,11/04/2005,8,South East,113,Wokingham,A321,Major,A4,A4130,3.98,1,5,312,0,41,7,0,0,1,0,0,8,366
26929,S,2005,11/04/2005,9,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,0,149,1,19,6,0,0,0,0,0,6,175
26929,S,2005,11/04/2005,10,South East,113,Wokingham,A321,Major,A4,A4130,3.98,1,0,137,2,32,7,0,0,0,0,0,7,178
26929,S,2005,11/04/2005,11,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,1,173,1,37,11,1,0,0,0,0,12,224
26929,S,2005,11/04/2005,12,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,0,145,2,18,12,0,0,0,0,0,12,177
26929,S,2005,11/04/2005,13,South East,113,Wokingham,A321,Major,A4,A4130,3.98,1,2,172,2,25,3,2,1,0,0,0,6,207
26929,S,2005,11/04/2005,14,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,2,149,1,21,6,0,0,0,0,0,6,179
26929,S,2005,11/04/2005,15,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,1,216,2,26,6,0,0,0,0,0,6,251
26929,S,2005,11/04/2005,16,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,7,297,2,50,5,0,0,0,0,0,5,361
26929,S,2005,11/04/2005,17,South East,113,Wokingham,A321,Major,A4,A4130,3.98,0,10,424,0,28,1,0,0,0,0,0,1,463
26929,S,2005,11/04/2005,18,South East,113,Wokingham,A321,Major,A4,A4130,3.98,3,6,372,1,25,2,0,0,0,0,0,2,406
26947,N,2005,25/05/2005,7,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,12,3,543,10,82,21,2,2,0,0,2,27,665
26947,N,2005,25/05/2005,8,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,13,8,720,12,57,17,1,4,0,1,0,23,820
26947,N,2005,25/05/2005,9,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,3,2,594,10,75,23,4,4,1,1,0,33,714
26947,N,2005,25/05/2005,10,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,4,5,393,8,65,28,0,3,3,0,1,35,506
26947,N,2005,25/05/2005,11,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,11,4,314,9,65,24,2,2,1,0,0,29,421
26947,N,2005,25/05/2005,12,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,7,4,441,9,54,19,1,3,0,0,1,24,532
26947,N,2005,25/05/2005,13,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,2,7,406,10,63,16,2,1,1,0,0,20,506
26947,N,2005,25/05/2005,14,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,0,4,367,11,48,15,0,5,0,1,0,21,451
26947,N,2005,25/05/2005,15,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,6,2,477,13,61,6,1,2,0,1,0,10,563
26947,N,2005,25/05/2005,16,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,12,3,560,14,68,16,0,0,0,1,0,17,662
26947,N,2005,25/05/2005,17,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,14,8,663,6,51,8,0,1,0,0,0,9,737
26947,N,2005,25/05/2005,18,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,20,4,671,8,32,4,0,0,0,0,0,4,719
26947,S,2005,25/05/2005,7,South East,113,Wokingham,A327,Major,B3349,LA Boundary,1.49,30,3,588,8,110,15,1,1,1,0,0,18,727
